"gender","fav_number","retweet_count","tweet_count","diff_prof_twt","tweets_per_day","gender_confidence","profile_yn_confidence","sidebar_color_cat","link_color_cat","score_vocab_brand","score_vocab_male","score_vocab_female","score_vocabio_brand","score_vocabio_male","score_vocabio_female"
"female",5569,0,64267,119.135416666667,35,1,1,"indeterminado","magenta",0,0,0,0,0,0
"brand",1221,0,37349,282.571825396825,13,1,1,"red","cyan",0,0,0,45.3758362849272,4.89335006273526,4.36125048243921
"male",14790,0,34872,96.1628968253968,21,1,1,"indeterminado","blue",0,0,0,0,0,0
"male",6,0,433,75.014880952381,0,1,1,"cyan","cyan",0,0,0,0,0,0
"female",16129,0,26005,223.246329365079,10,1,1,"magenta","orange",0,0,0,0,0,0
"brand",5,0,50856,231.023015873016,20,1,1,"red","cyan",0,0,0,0,0,0
"female",5157,0,8476,168.018551587302,4,1,1,"cyan","cyan",0,0,0,0,0,0
"female",7680,0,37390,274.560714285714,13,1,1,"cyan","cyan",0,0,0,0,0,0
"female",71,0,183,30.4024801587302,0,1,1,"cyan","cyan",0,0,3.67278797996661,0,11.3759933082392,4.09108452335006
"female",9409,1,3078,225.024007936508,1,1,1,"red","red",0,0,0,0,0,0
"female",24,0,120,21.5720238095238,0,0.6647,1,"cyan","cyan",0,4.32208407341622,0,8.65800865800866,19.8243412797993,34.7356233114628
"female",26154,9,8279,189.533630952381,4,0.6579,1,"indeterminado","red",0,0,0,4.32900432900433,9.91217063989962,17.3678116557314
"male",193,0,1988,186.687896825397,1,1,1,"cyan","cyan",0,0,0,0,0,0
"male",549,0,29596,186.335119047619,13,1,1,"red","red",0,0,0,0,4.01505646173149,0
"male",273,0,18498,228.441170634921,7,1,1,"cyan","cyan",0,0,0,0,0,0
"brand",4,0,349,329.673412698413,0,0.6867,1,"cyan","cyan",1.34109758249515,6.69034931912374,0,0,4.01505646173149,0
"brand",0,0,109,0.213392857142857,0,1,1,"indeterminado","green",0,0,0,0,0,0
"brand",843,0,14954,136.74255952381,8,0.6377,0.6377,"indeterminado","cyan",0,0,0,0,0,0
"brand",116,0,1859,42.3972222222222,1,1,1,"cyan","cyan",1.28815952002823,3.90763765541741,3.67278797996661,30.9720582447855,4.89335006273526,4.36125048243921
"male",5425,0,7398,252.866765873016,3,1,1,"cyan","cyan",1.57049585318511,11.4860864416815,10.2253756260434,0,0,0
"female",8496,0,1602,67.0720238095238,1,0.6656,0.6656,"indeterminado","cyan",0,0,3.67278797996661,0,0,0
"male",0,0,6742,59.6258928571429,5,1,1,"cyan","cyan",0,0,0,0,0,0
"brand",0,0,37119,82.7166666666667,24,0.6634,1,"cyan","cyan",121.298747132522,0,0,0,0,0
"brand",8415,0,40722,66.5989087301587,28,0.6697,1,"red","red",0,0,0,5.47028728846911,0,0
"brand",203,0,2379,351.033234126984,1,1,1,"cyan","cyan",0,0,0,0,0,0
"female",24,0,4178,350.771130952381,1,1,1,"cyan","cyan",0,6.63114268798105,5.09181969949917,0,0,0
"brand",0,0,40217,80.1840277777778,26,0.689,1,"cyan","cyan",121.298747132522,0,0,0,0,0
"brand",55,0,67766,181.691468253968,30,1,1,"cyan","cyan",0,0,0,0,0,0
"female",10636,0,18361,98.6752976190476,11,1,1,"indeterminado","red",0,0,0,0,0,0
"brand",27,0,1533,193.106448412698,1,1,1,"cyan","cyan",0,0,0,21.1727666273121,0,0
"brand",60,0,277,14.8821428571429,0,1,1,"indeterminado","indeterminado",0,3.73001776198934,0,0,0,0
"brand",0,0,31255,16.6169642857143,29,1,1,"cyan","cyan",121.298747132522,0,0,0,0,0
"brand",8088,0,113650,255.555158730159,41,1,1,"red","cyan",0,0,0,0,0,0
"female",430,0,4124,242.565376984127,2,0.6938,1,"cyan","cyan",2.27633668607729,11.959739490823,17.4040066777963,0,0,0
"brand",0,0,73092,31.5084325396825,61,0.6811,1,"cyan","cyan",121.298747132522,0,0,0,0,0
"female",10450,0,58107,223.19246031746,23,1,1,"red","yellow",0,0,0,0,0,0
"male",0,0,4270,206.361507936508,2,0.3476,1,"red","indeterminado",0,0,3.38063439065109,0,0,0
"male",2304,3,15273,331.771626984127,5,1,1,"red","cyan",0,0,0,26.4069264069264,12.3797574236721,11.8101119258973
"male",2556,0,3203,56.1060515873016,2,1,1,"cyan","cyan",0,0,0,4.64384100747737,13.4671685487244,17.2906213817059
"male",0,0,4096,1.81597222222222,4,0.627,1,"cyan","cyan",0,0,0,0,0,0
"brand",13,0,6920,235.589880952381,3,1,1,"yellow","yellow",2.92923945650256,11.0716400236827,0,0,0,0
"female",962,0,10542,327.712202380952,3,1,1,"red","red",0,0,0,0,0,0
"brand",0,0,43923,68.0184523809524,30,1,1,"cyan","cyan",121.298747132522,0,0,0,0,0
"brand",0,0,9064,233.870436507937,3,0.6736,1,"cyan","cyan",1.21757543673902,0,0,0,0,0
"female",5585,0,76691,183.675694444444,34,1,1,"cyan","cyan",0,0,0,0,0,0
"brand",0,0,113169,373.086805555556,32,1,1,"red","red",0,0,0,0,0,0
"brand",1,0,204425,154.892956349206,99,0.6496,1,"red","red",0,0,0,0,10.3722291928064,11.0768043226553
"male",28,1,20589,219.977678571429,8,0.672,1,"indeterminado","red",0,0,0,0,8.44834797156002,8.06638363566191
"female",38,0,39,3.04632936507937,0,1,1,"cyan","cyan",0,0,0,0,0,0
"female",0,0,79362,138.207043650794,41,1,1,"cyan","cyan",0,0,0,0,0,0
"male",30956,0,76407,162.12123015873,36,1,1,"red","cyan",0,0,0,0,0,0
"male",7137,0,49980,63.63125,35,0.6664,0.6664,"indeterminado","blue",0,0,0,0,0,0
"female",71,0,1884,291.249801587302,1,1,1,"indeterminado","blue",4.02329274748544,23.7418590882179,23.330550918197,0,0,0
"male",100,0,31759,324.339583333333,10,1,1,"cyan","cyan",0,0,0,0,0,0
"male",1899,0,88016,232.320138888889,34,1,1,"cyan","cyan",0,0,0,0,11.3759933082392,4.09108452335006
"male",80401,0,87620,51.4161706349206,65,0.6567,1,"indeterminado","red",0,0,0,0,0,0
"female",4447,0,29193,410.825595238095,8,0.3515,1,"red","cyan",0,0,0,0,0,0
"male",5,0,962,280.907242063492,0,1,1,"red","orange",0,0,0,0,10.3722291928064,11.0768043226553
"male",23,0,13833,191.165773809524,6,0.6747,1,"cyan","cyan",0,0,0,0,0,0
